标题链接,griditem_链接,图片,griditem,griditem1,griditem_链接2,griditem3,griditem_链接4,图片5,griditem6,关键词,griditem7,griditem_链接8,griditem_链接9,图片10,griditem11,关键词12,griditem13,griditem_链接14,griditem_链接15,图片16,griditem17,关键词18,griditem19,griditem_链接20
"
                            元祖蛋糕/清风有信(8寸)-元祖慕斯蛋糕
                            元祖授权销售
                        ",https://www.hua.com/product/5302071.html?huaPid=%2Fcake%2F-5302071,https://img01.hua.com/uploadpic/newpic/5302071.jpg_220x240.jpg,298,元祖蛋糕/清风有信(8寸)-元祖慕斯蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5302071,加入购物车,https://www.hua.com/product/5302017.html?huaPid=%2Fcake%2F-5302017,https://img01.hua.com/uploadpic/newpic/5302017.jpg_220x240.jpg,258,"
                            元祖蛋糕/甜蜜如心(8寸)-元祖鲜奶蛋糕，布丁加水果夹层
                            元祖授权销售
                        ",元祖蛋糕/甜蜜如心(8寸)-元祖鲜奶蛋糕，布丁加水果夹层,https://www.hua.com/shopping/AddtoCart?product_code=5302017,https://www.hua.com/product/5302066.html?huaPid=%2Fcake%2F-5302066,https://img01.hua.com/uploadpic/newpic/5302066.jpg_220x240.jpg,258,"
                            元祖蛋糕/情有独钟(8寸)-元祖鲜奶蛋糕
                            元祖授权销售
                        ",元祖蛋糕/情有独钟(8寸)-元祖鲜奶蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5302066,https://www.hua.com/product/5302015.html?huaPid=%2Fcake%2F-5302015,https://img01.hua.com/uploadpic/newpic/5302015.jpg_220x240.jpg,258,"
                            元祖蛋糕/水果之恋(8寸)-元祖鲜奶蛋糕，布丁水果夹层
                            元祖授权销售
                        ",元祖蛋糕/水果之恋(8寸)-元祖鲜奶蛋糕，布丁水果夹层,https://www.hua.com/shopping/AddtoCart?product_code=5302015
"
                            21CAKE蛋糕/芒果奶油蛋糕(2磅)+方形蜡烛-乳脂奶油蛋糕
                            
                        ",https://www.hua.com/product/5222025.html?huaPid=%2Fcake%2F-5222025,https://img01.hua.com/uploadpic/newpic/5222025.jpg_220x240.jpg,206,21CAKE蛋糕/芒果奶油蛋糕(2磅)+方形蜡烛-乳脂奶油蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5222025,加入购物车,https://www.hua.com/product/5221029.html?huaPid=%2Fcake%2F-5221029,https://img01.hua.com/uploadpic/newpic/5221029.jpg_220x240.jpg,206,"
                            21CAKE蛋糕/桂圆冰淇淋(1磅)+方形蜡烛-冰淇淋蛋糕
                            
                        ",21CAKE蛋糕/桂圆冰淇淋(1磅)+方形蜡烛-冰淇淋蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5221029,https://www.hua.com/product/5221023.html?huaPid=%2Fcake%2F-5221023,https://img01.hua.com/uploadpic/newpic/5221023.jpg_220x240.jpg,206,"
                            21CAKE蛋糕/百香果酸乳酪慕斯蛋糕(1磅)+方形蜡烛-慕斯蛋糕
                            
                        ",21CAKE蛋糕/百香果酸乳酪慕斯蛋糕(1磅)+方形蜡烛-慕斯蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5221023,https://www.hua.com/product/5221022.html?huaPid=%2Fcake%2F-5221022,https://img01.hua.com/uploadpic/newpic/5221022.jpg_220x240.jpg,206,"
                            21CAKE蛋糕/冻慕斯与焗芝士(1磅)+方形蜡烛-慕斯蛋糕
                            
                        ",21CAKE蛋糕/冻慕斯与焗芝士(1磅)+方形蜡烛-慕斯蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5221022
"
                            诺心蛋糕/环游世界蛋糕（2-4人食）-巧克力蛋糕
                            惊喜 不用刻意安排
                        ",https://www.hua.com/product/5901084.html?huaPid=%2Fcake%2F-5901084,https://img01.hua.com/uploadpic/newpic/5901084.jpg_220x240.jpg,258,诺心蛋糕/环游世界蛋糕（2-4人食）-巧克力蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5901084,加入购物车,https://www.hua.com/product/5901020.html?huaPid=%2Fcake%2F-5901020,https://img01.hua.com/uploadpic/newpic/5901020.jpg_220x240.jpg,218,"
                            诺心蛋糕/公主蛋糕（2-4人食）-巧克力蛋糕
                            
                        ",诺心蛋糕/公主蛋糕（2-4人食）-巧克力蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5901020,https://www.hua.com/product/5901042.html?huaPid=%2Fcake%2F-5901042,https://img01.hua.com/uploadpic/newpic/5901042.jpg_220x240.jpg,218,"
                            诺心蛋糕/雪域蓝莓芝士蛋糕（2-4人食）-鲜果蛋糕
                            
                        ",诺心蛋糕/雪域蓝莓芝士蛋糕（2-4人食）-鲜果蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5901042,https://www.hua.com/product/5901045.html?huaPid=%2Fcake%2F-5901045,https://img01.hua.com/uploadpic/newpic/5901045.jpg_220x240.jpg,218,"
                            诺心蛋糕/杨枝甘露蛋糕（2-4人食）-鲜果蛋糕
                            
                        ",诺心蛋糕/杨枝甘露蛋糕（2-4人食）-鲜果蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5901045
"
                            BONCAKE蛋糕/蓝色星球（6寸）-
                            星空造型
                        ",https://www.hua.com/product/5181052.html?huaPid=%2Fcake%2F-5181052,https://img01.hua.com/uploadpic/newpic/5181052.jpg_220x240.jpg,268,BONCAKE蛋糕/蓝色星球（6寸）-,https://www.hua.com/shopping/AddtoCart?product_code=5181052,加入购物车,https://www.hua.com/product/5181053.html?huaPid=%2Fcake%2F-5181053,https://img01.hua.com/uploadpic/newpic/5181053.jpg_220x240.jpg,268,"
                            BONCAKE蛋糕/桃红星球（6寸）-
                            星空造型
                        ",BONCAKE蛋糕/桃红星球（6寸）-,https://www.hua.com/shopping/AddtoCart?product_code=5181053,https://www.hua.com/product/5181027.html?huaPid=%2Fcake%2F-5181027,https://img01.hua.com/uploadpic/newpic/5181027.jpg_220x240.jpg,268,"
                            BONCAKE蛋糕/喜上玫梢（6寸）-彩虹蛋糕
                            
                        ",BONCAKE蛋糕/喜上玫梢（6寸）-彩虹蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5181027,https://www.hua.com/product/5181064.html?huaPid=%2Fcake%2F-5181064,https://img01.hua.com/uploadpic/newpic/5181064.jpg_220x240.jpg,238,"
                            BONCAKE蛋糕/【花仙子】（6寸）-
                            温馨造型 女友最爱
                        ",BONCAKE蛋糕/【花仙子】（6寸）-,https://www.hua.com/shopping/AddtoCart?product_code=5181064
"
                            Mcake蛋糕/鲜莓印雪-新鲜草莓奶油拿破仑生日聚会蛋糕（2磅）水果蛋糕
                            
                        ",https://www.hua.com/product/5142026.html?huaPid=%2Fcake%2F-5142026,https://img01.hua.com/uploadpic/newpic/5142026.jpg_220x240.jpg,298,Mcake蛋糕/鲜莓印雪-新鲜草莓奶油拿破仑生日聚会蛋糕（2磅）水果蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5142026,加入购物车,https://www.hua.com/product/5141019.html?huaPid=%2Fcake%2F-5141019,https://img01.hua.com/uploadpic/newpic/5141019.jpg_220x240.jpg,198,"
                            Mcake蛋糕/新鲜法香奶油可丽生日宴会蛋糕（1磅）-奶油蛋糕
                            
                        ",Mcake蛋糕/新鲜法香奶油可丽生日宴会蛋糕（1磅）-奶油蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5141019,https://www.hua.com/product/5142028.html?huaPid=%2Fcake%2F-5142028,https://img01.hua.com/uploadpic/newpic/5142028.jpg_220x240.jpg,298,"
                            Mcake蛋糕/小熊动物造型芝士味生日儿童生日宴会蛋糕（2磅）-芝士蛋糕
                            
                        ",Mcake蛋糕/小熊动物造型芝士味生日儿童生日宴会蛋糕（2磅）-芝士蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5142028,https://www.hua.com/product/5142025.html?huaPid=%2Fcake%2F-5142025,https://img01.hua.com/uploadpic/newpic/5142025.jpg_220x240.jpg,318,"
                            Mcake蛋糕/榛果摩卡布拉吉（2磅）-巧克力蛋糕
                            
                        ",Mcake蛋糕/榛果摩卡布拉吉（2磅）-巧克力蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5142025
"
                            窝夫小子蛋糕/鲜奶水果(6寸)-窝夫小子鲜奶水果蛋糕
                            请至少提前6小时订购
                        ",https://www.hua.com/product/5501012.html?huaPid=%2Fcake%2F-5501012,https://img01.hua.com/uploadpic/newpic/5501012.jpg_220x240.jpg,159,窝夫小子蛋糕/鲜奶水果(6寸)-窝夫小子鲜奶水果蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5501012,加入购物车,https://www.hua.com/product/5502046.html?huaPid=%2Fcake%2F-5502046,https://img01.hua.com/uploadpic/newpic/5502046.jpg_220x240.jpg,329,"
                            窝夫小子蛋糕/汪来了（8寸）-巧克力蛋糕
                            请至少提前6小时订购
                        ",窝夫小子蛋糕/汪来了（8寸）-巧克力蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5502046,https://www.hua.com/product/5501010.html?huaPid=%2Fcake%2F-5501010,https://img01.hua.com/uploadpic/newpic/5501010.jpg_220x240.jpg,159,"
                            窝夫小子蛋糕/蓝莓甜心（6寸）-窝夫小子心形鲜奶水果蛋糕
                            请至少提前6小时订购
                        ",窝夫小子蛋糕/蓝莓甜心（6寸）-窝夫小子心形鲜奶水果蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5501010,https://www.hua.com/product/5501137.html?huaPid=%2Fcake%2F-5501137,https://img01.hua.com/uploadpic/newpic/5501137.jpg_220x240.jpg,179,"
                            窝夫小子蛋糕/情人玫瑰芝士（6寸）-窝夫小子玫瑰芝士蛋糕
                            
                        ",窝夫小子蛋糕/情人玫瑰芝士（6寸）-窝夫小子玫瑰芝士蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5501137
"
                            米卡米卡蛋糕/请叫我奔放的小野马！（1.5磅）-米卡米卡慕斯蛋糕
                            
                        ",https://www.hua.com/product/5702002.html?huaPid=%2Fcake%2F-5702002,https://img01.hua.com/uploadpic/newpic/5702002.jpg_220x240.jpg,257,米卡米卡蛋糕/请叫我奔放的小野马！（1.5磅）-米卡米卡慕斯蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5702002,加入购物车,https://www.hua.com/product/5702016.html?huaPid=%2Fcake%2F-5702016,https://img01.hua.com/uploadpic/newpic/5702016.jpg_220x240.jpg,217,"
                            米卡米卡蛋糕/至纯淡乳酪 （1.5磅）-米卡米卡乳酪蛋糕
                            
                        ",米卡米卡蛋糕/至纯淡乳酪 （1.5磅）-米卡米卡乳酪蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5702016,https://www.hua.com/product/5702064.html?huaPid=%2Fcake%2F-5702064,https://img01.hua.com/uploadpic/newpic/5702064.jpg_220x240.jpg,297,"
                            米卡米卡蛋糕/小愿旺（1.5磅）-奶油慕斯
                            
                        ",米卡米卡蛋糕/小愿旺（1.5磅）-奶油慕斯,https://www.hua.com/shopping/AddtoCart?product_code=5702064,https://www.hua.com/product/5702043.html?huaPid=%2Fcake%2F-5702043,https://img01.hua.com/uploadpic/newpic/5702043.jpg_220x240.jpg,297,"
                            米卡米卡蛋糕/浓情巧克力 Sweet Chocolate（1.5磅）-巧克力蛋糕
                            
                        ",米卡米卡蛋糕/浓情巧克力 Sweet Chocolate（1.5磅）-巧克力蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5702043
"
                            幸福西饼蛋糕/四重奏蛋糕(约2磅)-方形/巧克力/榴莲/慕斯蛋糕
                            
                        ",https://www.hua.com/product/5602016.html?huaPid=%2Fcake%2F-5602016,https://img01.hua.com/uploadpic/newpic/5602016.jpg_220x240.jpg,228,幸福西饼蛋糕/四重奏蛋糕(约2磅)-方形/巧克力/榴莲/慕斯蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5602016,加入购物车,https://www.hua.com/product/5602015.html?huaPid=%2Fcake%2F-5602015,https://img01.hua.com/uploadpic/newpic/5602015.jpg_220x240.jpg,218,"
                            幸福西饼蛋糕/榴芒双拼(约2磅)-双拼蛋糕
                            
                        ",幸福西饼蛋糕/榴芒双拼(约2磅)-双拼蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5602015,https://www.hua.com/product/5602062.html?huaPid=%2Fcake%2F-5602062,https://img01.hua.com/uploadpic/newpic/5602062.jpg_220x240.jpg,179,"
                            幸福西饼蛋糕/花镜(12块)【无贺卡、巧克力牌、蜡烛、生日帽】-
                            下午茶慕斯、芝士蛋糕
                        ",幸福西饼蛋糕/花镜(12块)【无贺卡、巧克力牌、蜡烛、生日帽】-,https://www.hua.com/shopping/AddtoCart?product_code=5602062,https://www.hua.com/product/5602045.html?huaPid=%2Fcake%2F-5602045,https://img01.hua.com/uploadpic/newpic/5602045.jpg_220x240.jpg,228,"
                            幸福西饼蛋糕/浪漫果纷蛋糕(约2磅)-水果蛋糕
                            
                        ",幸福西饼蛋糕/浪漫果纷蛋糕(约2磅)-水果蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5602045
"
                            Vcake蛋糕/37度爱（1.5磅）-巧克力蛋糕
                            
                        ",https://www.hua.com/product/5112018.html?huaPid=%2Fcake%2F-5112018,https://img01.hua.com/uploadpic/newpic/5112018.jpg_220x240.jpg,185,Vcake蛋糕/37度爱（1.5磅）-巧克力蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5112018,加入购物车,https://www.hua.com/product/5112024.html?huaPid=%2Fcake%2F-5112024,https://img01.hua.com/uploadpic/newpic/5112024.jpg_220x240.jpg,219,"
                            Vcake蛋糕/在一起（1.5磅）-香草蛋糕
                            
                        ",Vcake蛋糕/在一起（1.5磅）-香草蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5112024,https://www.hua.com/product/5112008.html?huaPid=%2Fcake%2F-5112008,https://img01.hua.com/uploadpic/newpic/5112008.jpg_220x240.jpg,244,"
                            Vcake蛋糕/榴芒双拼（1.5磅）-慕斯蛋糕
                            
                        ",Vcake蛋糕/榴芒双拼（1.5磅）-慕斯蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5112008,https://www.hua.com/product/5112026.html?huaPid=%2Fcake%2F-5112026,https://img01.hua.com/uploadpic/newpic/5112026.jpg_220x240.jpg,219,"
                            Vcake蛋糕/缤果雪慕（1.5磅）-酸奶蛋糕
                            
                        ",Vcake蛋糕/缤果雪慕（1.5磅）-酸奶蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5112026
"
                            心之和蛋糕/ 关山樱花 （1.8磅)-重芝士蛋糕
                            
                        ",https://www.hua.com/product/5211015.html?huaPid=%2Fcake%2F-5211015,https://img01.hua.com/uploadpic/newpic/5211015.jpg_220x240.jpg,488,心之和蛋糕/ 关山樱花 （1.8磅)-重芝士蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5211015,加入购物车,https://www.hua.com/product/5211001.html?huaPid=%2Fcake%2F-5211001,https://img01.hua.com/uploadpic/newpic/5211001.jpg_220x240.jpg,358,"
                            心之和蛋糕/新排行榜COOL酪(1.5磅)-乳酪蛋糕
                            年度人气口味大集合
                        ",心之和蛋糕/新排行榜COOL酪(1.5磅)-乳酪蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5211001,https://www.hua.com/product/5211002.html?huaPid=%2Fcake%2F-5211002,https://img01.hua.com/uploadpic/newpic/5211002.jpg_220x240.jpg,428,"
                            心之和蛋糕/宇治抹茶紅豆 COOL酪(1.8磅)-乳酪蛋糕
                            
                        ",心之和蛋糕/宇治抹茶紅豆 COOL酪(1.8磅)-乳酪蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5211002,https://www.hua.com/product/5211004.html?huaPid=%2Fcake%2F-5211004,https://img01.hua.com/uploadpic/newpic/5211004.jpg_220x240.jpg,298,"
                            心之和蛋糕/德式超浓COOL酪(1.8磅)-乳酪蛋糕
                            
                        ",心之和蛋糕/德式超浓COOL酪(1.8磅)-乳酪蛋糕,https://www.hua.com/shopping/AddtoCart?product_code=5211004
